Title,Company Name,Date,Location,Salary,Keywords Found
Business Analyst,Opinov8,29 серпня 2024,"Київ, за кордоном, віддалено",,"R, Spark"
BI Analyst,Студія HR рішень,29 серпня 2024,віддалено,,"Python, R, SQL, Excel"
Middle Business Analyst,VeliTech,29 серпня 2024,"Київ, віддалено",,"R, SQL"
Middle Business Analyst,GR8 Tech,29 серпня 2024,"Bulgaria, Kazakhstan, Moldova, Poland, Portugal, Romania, Лімасол (Кіпр), Прага (Чехія), віддалено",,"R, SQL, Scala"
Marketing Data Analyst,Tonti Laguna Group,29 серпня 2024,віддалено,,"R, SQL, Excel, Google Sheets"
System Business Analyst (with PM skills),Telesens IT,29 серпня 2024,"Харків, віддалено",,R
Product Web Analyst,iSpeedtoLead,29 серпня 2024,віддалено,,"R, Tableau, Excel"
Middle Business Analyst,Nova Digital,28 серпня 2024,віддалено,,"Python, R, SQL, Tableau, Power BI, PostgreSQL"
Security Analyst,SoftConstruct Ukraine,28 серпня 2024,віддалено,,"Python, R, AWS, GCP"
DATA System Analyst,UKRSIBTECH,28 серпня 2024,"Київ, віддалено",,"R, SQL"
Middle Product Analyst,appflame,28 серпня 2024,Київ,,"Python, R, SQL, Tableau"
Business Analyst (Middle/Senior),Attract Group,28 серпня 2024,віддалено,,R
Junior Product Analyst,appflame,28 серпня 2024,Київ,,"Python, R, SQL, Tableau"
Business analyst,antoshka.ua,28 серпня 2024,віддалено,,"R, SQL, Power BI, Excel"
Investment Analyst,Energame,28 серпня 2024,Лімасол (Кіпр),,R
Senior Business Analyst,Customertimes,27 серпня 2024,"Київ, Львів, Познань (Польща), віддалено",,"R, SQL, Power BI, Excel"
Business Analyst,SoftBees,27 серпня 2024,віддалено,,"R, Tableau, Power BI"
Data Analyst,Growe,27 серпня 2024,Варшава (Польща),,"Python, R, SQL, Tableau, Excel"
Strategy manager in Growth team (Genesis R&D),Genesis,27 серпня 2024,Київ,,"Python, R, SQL, Excel"
Business Analyst,Integrity Vision,27 серпня 2024,віддалено,,"R, SQL, Java, PostgreSQL"
Head of Analytics,Softsich,27 серпня 2024,віддалено,,"Python, R, SQL, Tableau, NoSQL, Kafka, AWS"
Junior/Intermediate Business Analyst,Dev.Pro,27 серпня 2024,"Пловдив (Болгарія), Порту (Португалія), Вроцлав (Польща)",,"R, Azure"
Бізнес-аналітик (Zoho CRM),CRMiUM,27 серпня 2024,"за кордоном, віддалено",$1000–1600,R
Business Analyst,Join.To.IT,27 серпня 2024,Київ,,R
Product Owner (B2C) (ID 156),HELSI,27 серпня 2024,"Київ, віддалено",,R
Fraud Analyst,DMarket (acquired by Mythical Games),27 серпня 2024 GameDev,"Київ, віддалено",,"R, SQL, Excel"
Lead Business Analyst,Paymentop,27 серпня 2024,"за кордоном, віддалено",,"R, SQL, Java, Tableau, Power BI, Excel"
Strong Middle/Senior Product Analyst,JatApp,27 серпня 2024,"Київ, за кордоном, віддалено",,"R, SQL, Tableau"
Business Analyst/Account Manager,BotsCrew,27 серпня 2024,Львів,,"R, Excel"
Business Analyst,SkyUp Airlines,27 серпня 2024,"Київ, віддалено",,"R, Excel"
Senior Data Analyst (Старший Аналітик),LOOQME,27 серпня 2024,віддалено,,"Python, R, SQL, Tableau, Power BI, Excel"
System Analyst (ID 000146),OTP Bank Ukraine,27 серпня 2024 бронювання,Київ,,"R, SQL"
Business Analyst & Validation Engineer in Machine Learning Team,ZONE3000,27 серпня 2024,віддалено,,"Python, R, SQL"
Research Analyst,MWDN,26 серпня 2024,віддалено,,"Python, R, SQL"
Junior Cybersecurity Analyst,EY Ukraine,26 серпня 2024 Перша робота,"Київ, віддалено",,"R, SQL, Excel"
Бізнес-аналітик в BizDev департамент PSP,Corytech,26 серпня 2024,Київ,,"SQL, Excel"
Product Analyst,SKELAR,26 серпня 2024,"Київ, за кордоном, віддалено",,"R, SQL, Tableau"
CRM Analyst,Kyivstar.Tech,26 серпня 2024,"Київ, віддалено",,"R, SQL, MongoDB"
Бізнес-аналітик,Kyivstar.Tech,26 серпня 2024,"Київ, віддалено",,"R, SQL"
SQL Server Developer,SKELAR,26 серпня 2024,Київ,,"R, SQL"
Lead Business Analyst,Nova Digital,26 серпня 2024,Київ,,R
Data Analyst,Державний Оператор Тилу,26 серпня 2024 miltech бронювання,Київ,$100–1200,"Python, R, SQL, Excel"
Бізнес-аналітик / Business Analyst (ВА),Health24,26 серпня 2024,Київ,$1500–2500,R
Business analyst (Generative AI напрямок),IT SmartFlex,26 серпня 2024,віддалено,,R
Middle Data Analyst (wellbeing product),SKELAR,26 серпня 2024,"Київ, за кордоном",,"Python, R, SQL, Tableau, Excel, Google Sheets"
IT Analyst,Nectain,26 серпня 2024,віддалено,,"R, SQL, Java, Excel, PostgreSQL"
Business Analyst,IT SmartFlex,26 серпня 2024,віддалено,,R
Product analyst,UKRSIBTECH,26 серпня 2024,Київ,,"R, SQL, Power BI"
Integration Engineer,Growe,26 серпня 2024,"Варшава (Польща), віддалено",,"Python, R, SQL, Scala, Tableau, PostgreSQL, MongoDB, AWS"
Junior Marketing Analyst (Manifest),BOOSTERS (partner of Genesis),26 серпня 2024 Перша робота,"Київ, віддалено",,"R, Tableau, Power BI, Excel, Google Sheets"
Growth Revenue Analyst,RIA.com,26 серпня 2024,"Київ, Вінниця, віддалено",,"R, SQL, Tableau"
Business Analyst,Digital Hiring,25 серпня 2024,,,
Business Analyst,Gamzix,25 серпня 2024,"Київ, Варшава (Польща), віддалено",,"R, Excel"
Analyst,Automat-it,25 серпня 2024 Перша робота,"Київ, Львів",,"R, Excel, Google Sheets, AWS"
Business Analyst (process mining),BPA.pro,24 серпня 2024,віддалено,$1500–3000,R
Junior Product Analyst,Genesis,23 серпня 2024,"Київ, гібрид, Київ, офіс, віддалено",,"R, Tableau, Excel"
Business Analyst with Network Experience,Erbis,23 серпня 2024,"Краків (Польща), віддалено",,"R, Excel"
Senior System Analyst,Deloitte,23 серпня 2024,"Київ, віддалено",,R
Lead Product Analyst,Smart Project,23 серпня 2024 GameDev,"Дніпро, Прага (Чехія), віддалено",,"R, SQL, Tableau, Excel"
"Бізнес-аналітик (Агро, Продажі, виробництово)",MHP,23 серпня 2024,"Київ, віддалено",,"R, SQL"
Business Analyst,ТОВ «ТЕРУМ ГРУП»,23 серпня 2024,Київ,$1000–1200,R
Junior Data Analyst,Keiki,23 серпня 2024,Київ,,"Python, R, SQL, Tableau, Power BI"
IT бізнес аналітик,Nova Digital,23 серпня 2024,"Київ, Варшава (Польща), віддалено",,"R, Excel"
Creatio Specialist,Deloitte,23 серпня 2024,Київ,,R
Бізнес аналітик,"""Бей-Транс""",23 серпня 2024,Львів,,R
Аналітик даних (Data Analyst),Державна служба статистики України,23 серпня 2024 govtech,Київ,,"Python, R"
BI аналітик (BI Analyst),Державна служба статистики України,23 серпня 2024 govtech,Київ,,"R, Tableau"
Data Analyst Team Lead,Державна служба статистики України,23 серпня 2024 govtech,Київ,,"Python, Pandas, R, Power BI"
Business Analyst,Deloitte,23 серпня 2024,"Київ, віддалено",,R
BI Specialist,MWDN,23 серпня 2024,віддалено,,"R, SQL, Tableau"
Product Analyst,United Tech,23 серпня 2024,"Київ, віддалено",,"Python, R, SQL, Tableau"
Middle Product Analyst | 6037,Genesis,23 серпня 2024,віддалено,,"Python, R, SQL, Tableau"
Business Analyst,WarpJump Company,23 серпня 2024,віддалено,,R
Молодший бізнес-аналітик,De Novo,23 серпня 2024,Київ,,R
Business Analyst,MindK,23 серпня 2024,за кордоном,,R
Аналітик бізнес процесів (військова служба на медичний проєкт),Сили Оборони України,23 серпня 2024 miltech,Київ,$500–550,
Дата-аналітик (військова служба на медичний проєкт),Сили Оборони України,23 серпня 2024 miltech,Київ,$500–550,"R, SQL, Power BI"
Data Curation Associate,Lyft,22 серпня 2024 Перша робота,"Київ, віддалено",,R
Business Analyst / Product Owner,"ГО ""Аеророзвідка""",22 серпня 2024 miltech,Київ,,R
Product & Operations Analyst (Impulse),Genesis,22 серпня 2024,"Київ, гібрид, Київ, офіс, Київ, віддалено",,"R, Tableau, Excel"
CRM Consultant,SMART business,22 серпня 2024,"Київ, віддалено",,"R, Power BI, Azure"
Traffic analyst (IGaming),Forsa Recruiting,22 серпня 2024,віддалено,,R
Acumatica ERP BA Trainee,Sprinterra,22 серпня 2024,віддалено,,R
Business Analyst (healthcare),Sprinterra,22 серпня 2024,віддалено,,"R, Excel"
Business Analyst,PioGroup Software,22 серпня 2024,"Харків, віддалено",,R
Бухгалтер-аналітик клієнтської підтримки,Self-ERP,22 серпня 2024,"Київ, Львів, віддалено",,R
Бізнес-аналітик зі знанням бухгалтерського обліку,BJet,22 серпня 2024,"Львів, віддалено",,R
Junior Business Analyst/Project Manager,Patternica,22 серпня 2024,віддалено,$650–900,"R, Excel"
Risk analyst,Sense Bank,22 серпня 2024,Київ,,"R, SQL, Power BI"
Financial Analyst / Controler,12go.asia,22 серпня 2024,віддалено,,"Python, R, SQL, Excel, Google Sheets"
Data Analyst,12go.asia,22 серпня 2024,віддалено,,"Python, R, SQL"
Investment & Growth Analyst,Genesis,22 серпня 2024,Київ,,"R, Excel"
Technical Business Analyst,Uvik Software,22 серпня 2024,"Чернівці, Івано-Франківськ, за кордоном, віддалено",,"R, Excel"
Business analyst,Sense Bank,22 серпня 2024,"Київ, віддалено",,"R, SQL, Java"
